subj	task	Sub-brick	NZMean_1	NZMean_2	NZMean_3	NZMean_4	NZMean_5
1iso3d	-4020	0[?]	877.336675	1002.304852	961.104991	1234.738113	985.507412
1iso3d	-4020	1[?]	848.591049	978.524395	958.908536	1210.311151	967.798167
1iso3d	-4020	2[?]	853.919777	969.125966	953.480916	1216.209573	935.005288
1iso3d	-4020	3[?]	847.449884	963.088414	951.253370	1197.442120	920.522474
1iso3d	-4020	4[?]	841.698484	950.408807	948.243211	1189.830118	902.458287
1iso3d	-4020	5[?]	846.025481	940.580265	937.511187	1164.708129	912.146295
1iso3d	-4020	6[?]	856.665802	925.179978	930.921057	1154.211210	938.766966
1iso3d	-4020	7[?]	869.240682	909.404380	922.319034	1122.284304	1000.762595
1iso3d	-4020	8[?]	893.360034	894.858847	912.527003	1103.805572	1072.399497
1iso3d	-4020	9[?]	877.461974	881.350424	905.941377	1087.119179	1195.564921
1	-4020	0[?]	946.715492	1154.828648	1073.198407	1350.826558	928.269108
1	-4020	1[?]	900.590088	1139.947869	1062.837767	1320.212036	881.292742
1	-4020	2[?]	898.129137	1119.544536	1055.490693	1308.859488	915.344149
1	-4020	3[?]	872.203292	1096.240855	1046.848553	1285.050342	954.536486
1	-4020	4[?]	846.253270	1067.088946	1032.760629	1254.770577	973.782627
1	-4020	5[?]	815.503192	1044.634635	1026.204487	1215.351976	994.387966
1	-4020	6[?]	771.502439	1023.009675	1017.448103	1186.579721	995.356550
1	-4020	7[?]	724.453559	1001.918595	1012.302650	1152.977250	977.691829
1	-4020	8[?]	672.313631	983.935471	1005.339323	1132.696422	953.797676
1	-4020	9[?]	646.221618	966.387965	994.928348	1102.261121	978.920951
2	-4020	0[?]	1003.044621	1170.028008	1076.792099	1251.293445	1063.253370
2	-4020	1[?]	924.863272	1154.747387	1058.342094	1194.527975	1078.967460
2	-4020	2[?]	905.691440	1128.687735	1046.988133	1163.464057	1104.561957
2	-4020	3[?]	859.281181	1100.739666	1035.019419	1128.942241	1123.118079
2	-4020	4[?]	812.797806	1079.267768	1026.882906	1111.329437	1133.480213
2	-4020	5[?]	747.777575	1055.273336	1013.271165	1071.975733	1134.187923
2	-4020	6[?]	703.017614	1034.147322	1004.822580	1040.650200	1112.540543
2	-4020	7[?]	662.045419	1010.727956	996.780690	1002.230030	1098.995390
2	-4020	8[?]	629.747188	991.637487	992.861104	990.793484	1102.762392
2	-4020	9[?]	611.162597	976.659587	982.926380	965.909748	1134.248473
