subj	task	Sub-brick	NZMean_1	NZMean_2	NZMean_3
1iso3d	-4020	0[?]	1037.864465	946.834603	1205.539405
1iso3d	-4020	1[?]	1029.596217	933.887517	1173.715728
1iso3d	-4020	2[?]	1019.741886	921.334758	1154.074735
1iso3d	-4020	3[?]	1020.692316	912.337181	1137.613820
1iso3d	-4020	4[?]	1016.125478	901.926952	1122.073698
1iso3d	-4020	5[?]	1006.143782	890.265723	1097.551338
1iso3d	-4020	6[?]	991.904437	883.122815	1082.683555
1iso3d	-4020	7[?]	975.679747	875.982284	1061.027391
1iso3d	-4020	8[?]	951.593567	866.261536	1039.579174
1iso3d	-4020	9[?]	939.983980	861.819316	1016.593617
1	-4020	0[?]	1114.046296	1044.924217	1368.607349
1	-4020	1[?]	1090.463677	1026.965050	1336.184100
1	-4020	2[?]	1082.192557	1013.760966	1314.958655
1	-4020	3[?]	1070.018530	1000.057102	1284.176886
1	-4020	4[?]	1057.545284	985.576223	1255.014039
1	-4020	5[?]	1050.035813	972.759059	1228.739854
1	-4020	6[?]	1046.194707	960.296872	1208.912525
1	-4020	7[?]	1044.385922	947.986735	1185.899072
1	-4020	8[?]	1045.140589	937.965779	1175.766203
1	-4020	9[?]	1034.314941	934.358748	1150.477427
2	-4020	0[?]	1126.444886	1071.108571	1386.495726
2	-4020	1[?]	1101.039362	1056.946435	1342.547639
2	-4020	2[?]	1086.979506	1043.122397	1313.383210
2	-4020	3[?]	1072.294561	1029.491094	1283.579157
2	-4020	4[?]	1063.649457	1016.281001	1260.577433
2	-4020	5[?]	1049.589759	1000.780628	1229.987131
2	-4020	6[?]	1036.082858	986.026184	1204.685858
2	-4020	7[?]	1020.209748	973.494136	1180.229220
2	-4020	8[?]	1002.852381	963.715052	1163.787703
2	-4020	9[?]	989.979925	958.320075	1146.038632
